level,list_-5.0,list_-4.0,list_-3.0,list_-2.0,list_-1.0,list_0.0,list_1.0,list_2.0,list_3.0,list_4.0,list_5.0
0,50.8,45.9,41.8,2.5,0.4,0,1.1,14.1,42.7,47.6,53.2
1,50.16,45.23,41.05,5.3,0.29,0,1.06,15.79,41.99,46.96,52.59
2,49.52,44.56,40.3,8.1,0.18,0,1.02,17.48,41.28,46.32,51.98
3,48.88,43.89,39.55,10.9,0.07,0,0.98,19.17,40.57,45.68,51.37
4,48.24,43.22,38.8,13.7,-0.04,0,0.94,20.86,39.86,45.04,50.76
5,47.6,42.55,38.05,16.5,-0.15,0,0.9,22.55,39.15,44.4,50.15
6,46.96,41.88,37.3,19.3,-0.26,0,0.86,24.24,38.44,43.76,49.54
7,46.32,41.21,36.55,22.1,-0.37,0,0.82,25.93,37.73,43.12,48.93
8,45.68,40.54,35.8,24.9,-0.48,0,0.78,27.62,37.02,42.48,48.32
9,45.04,39.87,35.05,27.7,-0.59,0,0.74,29.31,36.31,41.84,47.71
10,44.4,39.2,34.3,30.5,-0.7,0,0.7,31,35.6,41.2,47.1
11,43.8,38.57,33.63,29.73,-0.63,0,1.23,30.26,34.96,40.6,46.54
12,43.2,37.94,32.96,28.96,-0.56,0,1.76,29.52,34.32,40,45.98
13,42.6,37.31,32.29,28.19,-0.49,0,2.29,28.78,33.68,39.4,45.42
14,42,36.68,31.62,27.42,-0.42,0,2.82,28.04,33.04,38.8,44.86
15,41.4,36.05,30.95,26.65,-0.35,0,3.35,27.3,32.4,38.2,44.3
16,40.8,35.42,30.28,25.88,-0.28,0,3.88,26.56,31.76,37.6,43.74
17,40.2,34.79,29.61,25.11,-0.21,0,4.41,25.82,31.12,37,43.18
18,39.6,34.16,28.94,24.34,-0.14,0,4.94,25.08,30.48,36.4,42.62
19,39,33.53,28.27,23.57,-0.07,0,5.47,24.34,29.84,35.8,42.06
20,38.4,32.9,27.6,22.8,0,0,6,23.6,29.2,35.2,41.5
21,37.85,32.34,27.01,22.14,1.13,0,6.57,22.98,28.64,34.67,40.97
22,37.3,31.78,26.42,21.48,2.26,0,7.14,22.36,28.08,34.14,40.44
23,36.75,31.22,25.83,20.82,3.39,0,7.71,21.74,27.52,33.61,39.91
24,36.2,30.66,25.24,20.16,4.52,0,8.28,21.12,26.96,33.08,39.38
25,35.65,30.1,24.65,19.5,5.65,0,8.85,20.5,26.4,32.55,38.85
26,35.1,29.54,24.06,18.84,6.78,0,9.42,19.88,25.84,32.02,38.32
27,34.55,28.98,23.47,18.18,7.91,0,9.99,19.26,25.28,31.49,37.79
28,34,28.42,22.88,17.52,9.04,0,10.56,18.64,24.72,30.96,37.26
29,33.45,27.86,22.29,16.86,10.17,0,11.13,18.02,24.16,30.43,36.73
30,32.9,27.3,21.7,16.2,11.3,0,11.7,17.4,23.6,29.9,36.2
31,32.39,26.78,21.17,15.66,10.69,0,11.13,16.89,23.1,29.41,35.72
32,31.88,26.26,20.64,15.12,10.08,0,10.56,16.38,22.6,28.92,35.24
33,31.37,25.74,20.11,14.58,9.47,0,9.99,15.87,22.1,28.43,34.76
34,30.86,25.22,19.58,14.04,8.86,0,9.42,15.36,21.6,27.94,34.28
35,30.35,24.7,19.05,13.5,8.25,0,8.85,14.85,21.1,27.45,33.8
36,29.84,24.18,18.52,12.96,7.64,0,8.28,14.34,20.6,26.96,33.32
37,29.33,23.66,17.99,12.42,7.03,0,7.71,13.83,20.1,26.47,32.84
38,28.82,23.14,17.46,11.88,6.42,0,7.14,13.32,19.6,25.98,32.36
39,28.31,22.62,16.93,11.34,5.81,0,6.57,12.81,19.1,25.49,31.88
40,27.8,22.1,16.4,10.8,5.2,0,6,12.3,18.6,25,31.4
41,27.32,21.63,15.95,10.36,4.82,0,5.64,11.89,18.17,24.56,30.94
42,26.84,21.16,15.5,9.92,4.44,0,5.28,11.48,17.74,24.12,30.48
43,26.36,20.69,15.05,9.48,4.06,0,4.92,11.07,17.31,23.68,30.02
44,25.88,20.22,14.6,9.04,3.68,0,4.56,10.66,16.88,23.24,29.56
45,25.4,19.75,14.15,8.6,3.3,0,4.2,10.25,16.45,22.8,29.1
46,24.92,19.28,13.7,8.16,2.92,0,3.84,9.84,16.02,22.36,28.64
47,24.44,18.81,13.25,7.72,2.54,0,3.48,9.43,15.59,21.92,28.18
48,23.96,18.34,12.8,7.28,2.16,0,3.12,9.02,15.16,21.48,27.72
49,23.48,17.87,12.35,6.84,1.78,0,2.76,8.61,14.73,21.04,27.26
50,23,17.4,11.9,6.4,1.4,0,2.4,8.2,14.3,20.6,26.8
51,22.56,16.98,11.51,6.07,1.23,0,2.26,7.89,13.94,20.21,26.39
52,22.12,16.56,11.12,5.74,1.06,0,2.12,7.58,13.58,19.82,25.98
53,21.68,16.14,10.73,5.41,0.89,0,1.98,7.27,13.22,19.43,25.57
54,21.24,15.72,10.34,5.08,0.72,0,1.84,6.96,12.86,19.04,25.16
55,20.8,15.3,9.95,4.75,0.55,0,1.7,6.65,12.5,18.65,24.75
56,20.36,14.88,9.56,4.42,0.38,0,1.56,6.34,12.14,18.26,24.34
57,19.92,14.46,9.17,4.09,0.21,0,1.42,6.03,11.78,17.87,23.93
58,19.48,14.04,8.78,3.76,0.04,0,1.28,5.72,11.42,17.48,23.52
59,19.04,13.62,8.39,3.43,-0.13,0,1.14,5.41,11.06,17.09,23.11
60,18.6,13.2,8,3.1,-0.3,0,1,5.1,10.7,16.7,22.7
61,18.2,12.84,7.68,2.87,-0.31,0,0.99,4.9,10.41,16.36,22.33
62,17.8,12.48,7.36,2.64,-0.32,0,0.98,4.7,10.12,16.02,21.96
63,17.4,12.12,7.04,2.41,-0.33,0,0.97,4.5,9.83,15.68,21.59
64,17,11.76,6.72,2.18,-0.34,0,0.96,4.3,9.54,15.34,21.22
65,16.6,11.4,6.4,1.95,-0.35,0,0.95,4.1,9.25,15,20.85
66,16.2,11.04,6.08,1.72,-0.36,0,0.94,3.9,8.96,14.66,20.48
67,15.8,10.68,5.76,1.49,-0.37,0,0.93,3.7,8.67,14.32,20.11
68,15.4,10.32,5.44,1.26,-0.38,0,0.92,3.5,8.38,13.98,19.74
69,15,9.96,5.12,1.03,-0.39,0,0.91,3.3,8.09,13.64,19.37
70,14.6,9.6,4.8,0.8,-0.4,0,0.9,3.1,7.8,13.3,19
71,14.25,9.28,4.55,0.68,-0.41,0,0.9,3.01,7.58,13.01,18.67
72,13.9,8.96,4.3,0.56,-0.42,0,0.9,2.92,7.36,12.72,18.34
73,13.55,8.64,4.05,0.44,-0.43,0,0.9,2.83,7.14,12.43,18.01
74,13.2,8.32,3.8,0.32,-0.44,0,0.9,2.74,6.92,12.14,17.68
75,12.85,8,3.55,0.2,-0.45,0,0.9,2.65,6.7,11.85,17.35
76,12.5,7.68,3.3,0.08,-0.46,0,0.9,2.56,6.48,11.56,17.02
77,12.15,7.36,3.05,-0.04,-0.47,0,0.9,2.47,6.26,11.27,16.69
78,11.8,7.04,2.8,-0.16,-0.48,0,0.9,2.38,6.04,10.98,16.36
79,11.45,6.72,2.55,-0.28,-0.49,0,0.9,2.29,5.82,10.69,16.03
80,11.1,6.4,2.3,-0.4,-0.5,0,0.9,2.2,5.6,10.4,15.7
81,10.78,6.13,2.11,-0.44,-0.5,0,0.89,2.17,5.44,10.16,15.41
82,10.46,5.86,1.92,-0.48,-0.5,0,0.88,2.14,5.28,9.92,15.12
83,10.14,5.59,1.73,-0.52,-0.5,0,0.87,2.11,5.12,9.68,14.83
84,9.82,5.32,1.54,-0.56,-0.5,0,0.86,2.08,4.96,9.44,14.54
85,9.5,5.05,1.35,-0.6,-0.5,0,0.85,2.05,4.8,9.2,14.25
86,9.18,4.78,1.16,-0.64,-0.5,0,0.84,2.02,4.64,8.96,13.96
87,8.86,4.51,0.97,-0.68,-0.5,0,0.83,1.99,4.48,8.72,13.67
88,8.54,4.24,0.78,-0.72,-0.5,0,0.82,1.96,4.32,8.48,13.38
89,8.22,3.97,0.59,-0.76,-0.5,0,0.81,1.93,4.16,8.24,13.09
90,7.9,3.7,0.4,-0.8,-0.5,0,0.8,1.9,4,8,12.8
91,7.62,3.49,0.29,-0.81,-0.51,0,0.8,1.89,3.91,7.81,12.55
92,7.34,3.28,0.18,-0.82,-0.52,0,0.8,1.88,3.82,7.62,12.3
93,7.06,3.07,0.07,-0.83,-0.53,0,0.8,1.87,3.73,7.43,12.05
94,6.78,2.86,-0.04,-0.84,-0.54,0,0.8,1.86,3.64,7.24,11.8
95,6.5,2.65,-0.15,-0.85,-0.55,0,0.8,1.85,3.55,7.05,11.55
96,6.22,2.44,-0.26,-0.86,-0.56,0,0.8,1.84,3.46,6.86,11.3
97,5.94,2.23,-0.37,-0.87,-0.57,0,0.8,1.83,3.37,6.67,11.05
98,5.66,2.02,-0.48,-0.88,-0.58,0,0.8,1.82,3.28,6.48,10.8
99,5.38,1.81,-0.59,-0.89,-0.59,0,0.8,1.81,3.19,6.29,10.55
100,5.1,1.6,-0.7,-0.9,-0.6,0,0.8,1.8,3.1,6.1,10.3
101,4.86,1.43,-0.75,-0.92,-0.6,0,0.8,1.78,3.07,5.96,10.1
102,4.62,1.26,-0.8,-0.94,-0.6,0,0.8,1.76,3.04,5.82,9.9
103,4.38,1.09,-0.85,-0.96,-0.6,0,0.8,1.74,3.01,5.68,9.7
104,4.14,0.92,-0.9,-0.98,-0.6,0,0.8,1.72,2.98,5.54,9.5
105,3.9,0.75,-0.95,-1,-0.6,0,0.8,1.7,2.95,5.4,9.3
106,3.66,0.58,-1,-1.02,-0.6,0,0.8,1.68,2.92,5.26,9.1
107,3.42,0.41,-1.05,-1.04,-0.6,0,0.8,1.66,2.89,5.12,8.9
108,3.18,0.24,-1.1,-1.06,-0.6,0,0.8,1.64,2.86,4.98,8.7
109,2.94,0.07,-1.15,-1.08,-0.6,0,0.8,1.62,2.83,4.84,8.5
110,2.7,-0.1,-1.2,-1.1,-0.6,0,0.8,1.6,2.8,4.7,8.3
111,2.51,-0.21,-1.23,-1.11,-0.61,0,0.79,1.59,2.77,4.62,8.13
112,2.32,-0.32,-1.26,-1.12,-0.62,0,0.78,1.58,2.74,4.54,7.96
113,2.13,-0.43,-1.29,-1.13,-0.63,0,0.77,1.57,2.71,4.46,7.79
114,1.94,-0.54,-1.32,-1.14,-0.64,0,0.76,1.56,2.68,4.38,7.62
115,1.75,-0.65,-1.35,-1.15,-0.65,0,0.75,1.55,2.65,4.3,7.45
116,1.56,-0.76,-1.38,-1.16,-0.66,0,0.74,1.54,2.62,4.22,7.28
117,1.37,-0.87,-1.41,-1.17,-0.67,0,0.73,1.53,2.59,4.14,7.11
118,1.18,-0.98,-1.44,-1.18,-0.68,0,0.72,1.52,2.56,4.06,6.94
119,0.99,-1.09,-1.47,-1.19,-0.69,0,0.71,1.51,2.53,3.98,6.77
120,0.8,-1.2,-1.5,-1.2,-0.7,0,0.7,1.5,2.5,3.9,6.6
121,0.65,-1.26,-1.52,-1.21,-0.7,0,0.7,1.5,2.49,3.86,6.48
122,0.5,-1.32,-1.54,-1.22,-0.7,0,0.7,1.5,2.48,3.82,6.36
123,0.35,-1.38,-1.56,-1.23,-0.7,0,0.7,1.5,2.47,3.78,6.24
124,0.2,-1.44,-1.58,-1.24,-0.7,0,0.7,1.5,2.46,3.74,6.12
125,0.05,-1.5,-1.6,-1.25,-0.7,0,0.7,1.5,2.45,3.7,6
126,-0.1,-1.56,-1.62,-1.26,-0.7,0,0.7,1.5,2.44,3.66,5.88
127,-0.25,-1.62,-1.64,-1.27,-0.7,0,0.7,1.5,2.43,3.62,5.76
128,-0.4,-1.68,-1.66,-1.28,-0.7,0,0.7,1.5,2.42,3.58,5.64
129,-0.55,-1.74,-1.68,-1.29,-0.7,0,0.7,1.5,2.41,3.54,5.52
130,-0.7,-1.8,-1.7,-1.3,-0.7,0,0.7,1.5,2.4,3.5,5.4
131,-0.81,-1.83,-1.72,-1.3,-0.7,0,0.7,1.49,2.38,3.47,5.32
132,-0.92,-1.86,-1.74,-1.3,-0.7,0,0.7,1.48,2.36,3.44,5.24
133,-1.03,-1.89,-1.76,-1.3,-0.7,0,0.7,1.47,2.34,3.41,5.16
134,-1.14,-1.92,-1.78,-1.3,-0.7,0,0.7,1.46,2.32,3.38,5.08
135,-1.25,-1.95,-1.8,-1.3,-0.7,0,0.7,1.45,2.3,3.35,5
136,-1.36,-1.98,-1.82,-1.3,-0.7,0,0.7,1.44,2.28,3.32,4.92
137,-1.47,-2.01,-1.84,-1.3,-0.7,0,0.7,1.43,2.26,3.29,4.84
138,-1.58,-2.04,-1.86,-1.3,-0.7,0,0.7,1.42,2.24,3.26,4.76
139,-1.69,-2.07,-1.88,-1.3,-0.7,0,0.7,1.41,2.22,3.23,4.68
140,-1.8,-2.1,-1.9,-1.3,-0.7,0,0.7,1.4,2.2,3.2,4.6
141,-1.87,-2.13,-1.9,-1.31,-0.7,0,0.7,1.4,2.2,3.19,4.56
142,-1.94,-2.16,-1.9,-1.32,-0.7,0,0.7,1.4,2.2,3.18,4.52
143,-2.01,-2.19,-1.9,-1.33,-0.7,0,0.7,1.4,2.2,3.17,4.48
144,-2.08,-2.22,-1.9,-1.34,-0.7,0,0.7,1.4,2.2,3.16,4.44
145,-2.15,-2.25,-1.9,-1.35,-0.7,0,0.7,1.4,2.2,3.15,4.4
146,-2.22,-2.28,-1.9,-1.36,-0.7,0,0.7,1.4,2.2,3.14,4.36
147,-2.29,-2.31,-1.9,-1.37,-0.7,0,0.7,1.4,2.2,3.13,4.32
148,-2.36,-2.34,-1.9,-1.38,-0.7,0,0.7,1.4,2.2,3.12,4.28
149,-2.43,-2.37,-1.9,-1.39,-0.7,0,0.7,1.4,2.2,3.11,4.24
150,-2.5,-2.4,-1.9,-1.4,-0.7,0,0.7,1.4,2.2,3.1,4.2
151,-2.53,-2.41,-1.91,-1.4,-0.7,0,0.7,1.4,2.19,3.09,4.18
152,-2.56,-2.42,-1.92,-1.4,-0.7,0,0.7,1.4,2.18,3.08,4.16
153,-2.59,-2.43,-1.93,-1.4,-0.7,0,0.7,1.4,2.17,3.07,4.14
154,-2.62,-2.44,-1.94,-1.4,-0.7,0,0.7,1.4,2.16,3.06,4.12
155,-2.65,-2.45,-1.95,-1.4,-0.7,0,0.7,1.4,2.15,3.05,4.1
156,-2.68,-2.46,-1.96,-1.4,-0.7,0,0.7,1.4,2.14,3.04,4.08
157,-2.71,-2.47,-1.97,-1.4,-0.7,0,0.7,1.4,2.13,3.03,4.06
158,-2.74,-2.48,-1.98,-1.4,-0.7,0,0.7,1.4,2.12,3.02,4.04
159,-2.77,-2.49,-1.99,-1.4,-0.7,0,0.7,1.4,2.11,3.01,4.02
160,-2.8,-2.5,-2,-1.4,-0.7,0,0.7,1.4,2.1,3,4
161,-2.82,-2.51,-2,-1.4,-0.7,0,0.7,1.4,2.1,2.99,3.98
162,-2.84,-2.52,-2,-1.4,-0.7,0,0.7,1.4,2.1,2.98,3.96
163,-2.86,-2.53,-2,-1.4,-0.7,0,0.7,1.4,2.1,2.97,3.94
164,-2.88,-2.54,-2,-1.4,-0.7,0,0.7,1.4,2.1,2.96,3.92
165,-2.9,-2.55,-2,-1.4,-0.7,0,0.7,1.4,2.1,2.95,3.9
166,-2.92,-2.56,-2,-1.4,-0.7,0,0.7,1.4,2.1,2.94,3.88
167,-2.94,-2.57,-2,-1.4,-0.7,0,0.7,1.4,2.1,2.93,3.86
168,-2.96,-2.58,-2,-1.4,-0.7,0,0.7,1.4,2.1,2.92,3.84
169,-2.98,-2.59,-2,-1.4,-0.7,0,0.7,1.4,2.1,2.91,3.82
170,-3,-2.6,-2,-1.4,-0.7,0,0.7,1.4,2.1,2.9,3.8
171,-3.02,-2.61,-2.01,-1.4,-0.7,0,0.7,1.4,2.1,2.89,3.79
172,-3.04,-2.62,-2.02,-1.4,-0.7,0,0.7,1.4,2.1,2.88,3.78
173,-3.06,-2.63,-2.03,-1.4,-0.7,0,0.7,1.4,2.1,2.87,3.77
174,-3.08,-2.64,-2.04,-1.4,-0.7,0,0.7,1.4,2.1,2.86,3.76
175,-3.1,-2.65,-2.05,-1.4,-0.7,0,0.7,1.4,2.1,2.85,3.75
176,-3.12,-2.66,-2.06,-1.4,-0.7,0,0.7,1.4,2.1,2.84,3.74
177,-3.14,-2.67,-2.07,-1.4,-0.7,0,0.7,1.4,2.1,2.83,3.73
178,-3.16,-2.68,-2.08,-1.4,-0.7,0,0.7,1.4,2.1,2.82,3.72
179,-3.18,-2.69,-2.09,-1.4,-0.7,0,0.7,1.4,2.1,2.81,3.71
180,-3.2,-2.7,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.7
181,-3.21,-2.7,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.69
182,-3.22,-2.7,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.68
183,-3.23,-2.7,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.67
184,-3.24,-2.7,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.66
185,-3.25,-2.7,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.65
186,-3.26,-2.7,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.64
187,-3.27,-2.7,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.63
188,-3.28,-2.7,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.62
189,-3.29,-2.7,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.61
190,-3.3,-2.7,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.6
191,-3.3,-2.7,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.59
192,-3.3,-2.7,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.58
193,-3.3,-2.7,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.57
194,-3.3,-2.7,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.56
195,-3.3,-2.7,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.55
196,-3.3,-2.7,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.54
197,-3.3,-2.7,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.53
198,-3.3,-2.7,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.52
199,-3.3,-2.7,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.51
200,-3.3,-2.7,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
201,-3.31,-2.7,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
202,-3.32,-2.7,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
203,-3.33,-2.7,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
204,-3.34,-2.7,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
205,-3.35,-2.7,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
206,-3.36,-2.7,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
207,-3.37,-2.7,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
208,-3.38,-2.7,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
209,-3.39,-2.7,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
210,-3.4,-2.7,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
211,-3.4,-2.71,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
212,-3.4,-2.72,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
213,-3.4,-2.73,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
214,-3.4,-2.74,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
215,-3.4,-2.75,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
216,-3.4,-2.76,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
217,-3.4,-2.77,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
218,-3.4,-2.78,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
219,-3.4,-2.79,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
220,-3.4,-2.8,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
221,-3.4,-2.8,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
222,-3.4,-2.8,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
223,-3.4,-2.8,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
224,-3.4,-2.8,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
225,-3.4,-2.8,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
226,-3.4,-2.8,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
227,-3.4,-2.8,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
228,-3.4,-2.8,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
229,-3.4,-2.8,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
230,-3.4,-2.8,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
231,-3.4,-2.8,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
232,-3.4,-2.8,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
233,-3.4,-2.8,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
234,-3.4,-2.8,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
235,-3.4,-2.8,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
236,-3.4,-2.8,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
237,-3.4,-2.8,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
238,-3.4,-2.8,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
239,-3.4,-2.8,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
240,-3.4,-2.8,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
241,-3.4,-2.8,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
